subject_id,speech_rate,speech_rate_ratio,verbal_fluency,lexical_richness,word_repetition_score,voice_fluency_pauses,voice_fluency_weighted,pause_level1_count,pause_level2_count,pause_level3_count,total_pause_time,total_speaking_time
0390,0.5878,0.93,29,21,0.1905,5,15,2,1,2,31.85,17.49
0391,0.1255,0.75,7,7,0.0,1,5,0,0,1,50.9,4.89
0392,0.5915,0.94,29,27,0.0741,6,10,4,2,0,27.16,21.87
0393,0.2564,1.0,14,13,0.0769,5,11,3,1,1,43.36,11.25
0394,0.3887,1.0,19,17,0.1176,6,14,3,2,1,32.24,16.65
0395,1.7229,1.0,83,53,0.283,3,3,3,0,0,7.97,40.21
0396,0.3904,1.0,19,16,0.1875,6,16,2,3,1,35.3,13.36
0397,1.1837,0.97,59,34,0.4412,4,12,1,2,1,27.87,21.98
0398,0.1173,1.0,6,6,0.0,3,11,1,0,2,48.68,2.46
0399,0.831,0.98,47,38,0.1842,6,6,6,0,0,14.51,42.05
0400,1.0757,1.0,53,20,0.7,7,9,6,1,0,22.38,26.89
0401,0.4737,1.0,23,19,0.0526,4,12,1,2,1,29.57,18.99
0402,0.7838,1.0,33,25,0.2,4,6,3,1,0,14.63,27.47
0403,0.3346,1.0,18,18,0.0,7,15,4,2,1,42.63,11.16
0404,0.432,0.94,23,20,0.1,7,15,5,0,2,39.94,13.31
0405,0.3649,1.0,18,17,0.0588,5,13,2,2,1,38.06,11.27
0406,0.4116,0.93,22,21,0.0476,8,14,6,1,1,38.79,14.66
0407,0.5092,0.94,27,27,0.0,9,13,7,2,0,33.93,19.09
0408,0.7764,0.95,38,34,0.1176,6,8,5,1,0,25.85,23.1
0409,0.549,0.92,25,25,0.0,6,8,5,1,0,22.04,23.49
0410,0.371,0.92,20,19,0.0526,8,16,5,2,1,42.57,11.34
0411,0.2749,0.88,15,15,0.0,8,18,4,3,1,41.81,12.76
0412,0.9748,1.0,51,41,0.1951,7,7,7,0,0,19.7,32.62
0413,0.4134,0.96,18,16,0.125,5,7,4,1,0,16.47,27.07
0414,0.8221,1.0,37,37,0.0,7,7,7,0,0,18.95,26.06
0415,0.659,0.96,27,25,0.08,6,6,6,0,0,17.3,23.67
0416,1.2036,0.96,47,38,0.2105,4,4,4,0,0,10.56,28.49
0417,0.57,0.92,25,25,0.0,10,10,10,0,0,27.39,16.47
0418,0.738,1.0,39,37,0.0541,8,10,7,1,0,28.38,24.47
0419,0.3831,0.9,19,19,0.0,5,11,3,1,1,30.26,19.33
0420,1.182,1.0,55,39,0.2051,3,3,3,0,0,6.65,39.88
0421,0.2789,1.0,15,13,0.1538,5,17,1,2,2,42.33,11.45
0422,1.0455,0.97,49,37,0.1892,6,6,6,0,0,17.98,28.89
0423,1.0348,0.96,47,37,0.1081,2,2,2,0,0,7.66,37.76
0424,0.2668,0.88,15,14,0.0714,8,16,5,2,1,50.56,5.66
0425,0.7761,0.95,37,34,0.0882,7,7,7,0,0,18.57,29.1
0426,0.3473,1.0,18,16,0.125,6,14,3,2,1,39.75,12.08
0427,0.4516,0.95,26,25,0.04,6,14,3,2,1,39.67,17.89
0428,0.3299,1.0,18,17,0.0588,4,10,2,1,1,37.47,17.09
0429,0.5773,0.95,28,23,0.1739,4,8,3,0,1,22.01,26.49
0430,0.3398,1.0,17,17,0.0,7,11,5,2,0,31.98,18.05
0431,0.4674,1.0,25,23,0.087,8,12,6,2,0,30.34,23.15
